impact_speed,dead,airbag,seatbelt,frontal,sex,occupant_age,accident_year,vehicle_year,airbag_deploy,occupant,injury_level
25-39,alive,none,none,1,m,26,1997,1983.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,32,1997,1995.0,nodeploy,driver,no injury
25-39,alive,none,none,0,f,78,1997,1986.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,40,1997,1985.0,unavail,driver,no injury
25-39,alive,none,belted,1,f,36,1997,1985.0,unavail,pass,no injury
10-24,alive,none,none,1,m,76,1997,1989.0,unavail,driver,unknown
10-24,alive,none,none,0,f,55,1997,1983.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,45,1997,1986.0,unavail,driver,no injury
10-24,alive,none,belted,0,f,20,1997,1992.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,43,1997,1992.0,unavail,pass,possible injury
25-39,alive,none,belted,1,m,21,1997,1994.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,44,1997,1988.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,62,1997,1988.0,unavail,pass,no injury
25-39,alive,airbag,belted,0,f,20,1997,1997.0,deploy,driver,incapacity
25-39,alive,airbag,belted,0,f,17,1997,1997.0,deploy,pass,incapacity
25-39,alive,none,none,1,m,24,1997,1983.0,unavail,driver,no incapacity
25-39,alive,none,none,1,m,62,1997,1983.0,unavail,pass,no incapacity
25-39,alive,none,none,1,f,37,1997,1981.0,unavail,driver,incapacity
10-24,alive,none,belted,1,f,82,1997,1988.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,44,1997,1988.0,unavail,pass,possible injury
10-24,alive,airbag,belted,0,f,23,1997,1994.0,nodeploy,driver,no injury
55+,dead,none,belted,1,m,67,1997,1992.0,unavail,driver,killed
55+,dead,none,belted,1,f,64,1997,1992.0,unavail,pass,killed
40-54,alive,none,belted,1,m,65,1997,1991.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,42,1997,1988.0,unavail,driver,possible injury
10-24,alive,none,none,1,f,21,1997,1989.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,46,1997,1996.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,f,17,1997,1996.0,deploy,pass,possible injury
10-24,alive,none,belted,0,f,81,1997,1991.0,unavail,driver,possible injury
1-9km/h,alive,airbag,belted,0,m,50,1997,1992.0,nodeploy,driver,no injury
55+,alive,none,belted,0,m,33,1997,1991.0,unavail,driver,incapacity
40-54,alive,airbag,belted,1,m,40,1997,1995.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,m,23,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,none,0,f,42,1997,1993.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,f,17,1997,1986.0,unavail,driver,possible injury
10-24,alive,none,belted,0,m,71,1997,1987.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,66,1997,1979.0,unavail,driver,no injury
10-24,alive,none,none,0,f,20,1997,1989.0,unavail,driver,possible injury
10-24,alive,none,none,1,m,18,1997,1987.0,unavail,driver,incapacity
10-24,alive,none,none,1,m,26,1997,1987.0,unavail,pass,possible injury
55+,alive,none,none,1,m,20,1997,1981.0,unavail,driver,incapacity
55+,alive,none,none,1,f,19,1997,1981.0,unavail,pass,incapacity
10-24,alive,none,none,0,m,18,1997,1986.0,unavail,driver,incapacity
55+,alive,none,belted,0,m,25,1997,1979.0,unavail,driver,incapacity
10-24,alive,none,belted,0,m,21,1997,1982.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,18,1997,1982.0,unavail,pass,possible injury
10-24,alive,none,belted,1,f,18,1997,1990.0,unavail,driver,possible injury
10-24,alive,none,none,1,f,20,1997,1990.0,unavail,pass,possible injury
10-24,alive,none,belted,1,m,23,1997,1993.0,unavail,driver,possible injury
25-39,alive,airbag,none,1,m,26,1997,1992.0,deploy,driver,incapacity
25-39,alive,none,none,1,m,55,1997,1992.0,unavail,pass,possible injury
10-24,alive,none,belted,0,f,37,1997,1988.0,unavail,driver,no injury
10-24,alive,airbag,none,1,f,50,1997,1996.0,deploy,driver,possible injury
10-24,alive,none,belted,0,m,45,1997,1981.0,unavail,driver,unknown
10-24,alive,none,belted,1,m,75,1997,1987.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,f,57,1997,1995.0,deploy,driver,possible injury
10-24,alive,none,belted,1,f,17,1997,1989.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,17,1997,1989.0,unavail,pass,no injury
10-24,alive,airbag,belted,1,f,50,1997,1995.0,deploy,driver,incapacity
40-54,alive,none,none,0,f,77,1997,1989.0,unavail,driver,incapacity
55+,alive,airbag,none,1,m,22,1997,1994.0,deploy,driver,no incapacity
10-24,alive,none,belted,0,m,53,1997,1991.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,m,42,1997,1991.0,deploy,driver,no incapacity
10-24,alive,none,belted,0,m,42,1997,1991.0,unavail,pass,no injury
40-54,alive,none,belted,1,m,20,1997,1987.0,unavail,driver,incapacity
40-54,alive,airbag,belted,1,f,43,1997,1997.0,deploy,driver,incapacity
25-39,alive,none,belted,1,m,17,1997,1985.0,unavail,driver,possible injury
25-39,alive,none,none,1,m,16,1997,1985.0,unavail,pass,incapacity
25-39,alive,airbag,none,1,f,30,1997,1992.0,deploy,driver,possible injury
10-24,alive,none,belted,1,f,61,1997,1993.0,unavail,driver,possible injury
10-24,alive,none,none,0,f,36,1997,1983.0,unavail,driver,possible injury
10-24,alive,none,none,0,f,38,1997,1983.0,unavail,pass,possible injury
25-39,alive,airbag,belted,0,m,31,1997,1996.0,nodeploy,driver,unknown
25-39,alive,airbag,none,0,f,25,1997,1996.0,nodeploy,pass,unknown
40-54,alive,none,belted,1,m,52,1997,1984.0,unavail,driver,possible injury
10-24,alive,none,none,0,f,46,1997,1987.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,30,1997,1993.0,deploy,driver,incapacity
10-24,alive,none,belted,0,m,16,1997,1991.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,16,1997,1991.0,unavail,pass,no incapacity
25-39,alive,none,belted,1,m,58,1997,1992.0,unavail,driver,incapacity
10-24,alive,none,belted,1,f,18,1997,1987.0,unavail,driver,possible injury
10-24,alive,none,belted,0,m,21,1997,1992.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,17,1997,1992.0,unavail,pass,incapacity
10-24,alive,none,none,1,m,71,1997,1986.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,1,f,72,1997,1994.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,m,71,1997,1994.0,deploy,pass,possible injury
10-24,alive,none,belted,1,f,74,1997,1988.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,41,1997,1985.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,54,1997,1987.0,unavail,driver,possible injury
10-24,alive,none,belted,1,f,61,1997,1987.0,unavail,pass,possible injury
25-39,alive,none,none,1,m,41,1997,1984.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,17,1997,1988.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,17,1997,1988.0,unavail,pass,possible injury
10-24,alive,airbag,belted,1,m,67,1997,1997.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,f,66,1997,1997.0,deploy,pass,possible injury
25-39,alive,none,belted,0,m,23,1997,1984.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,29,1997,1988.0,unavail,driver,possible injury
25-39,alive,none,belted,1,m,46,1997,1984.0,unavail,driver,possible injury
10-24,alive,none,none,1,m,23,1997,1986.0,unavail,driver,no incapacity
10-24,alive,none,none,1,m,24,1997,1986.0,unavail,pass,incapacity
25-39,alive,none,belted,1,m,67,1997,1986.0,unavail,driver,incapacity
40-54,alive,none,none,0,m,51,1997,1985.0,unavail,driver,incapacity
40-54,alive,none,none,0,m,46,1997,1985.0,unavail,pass,no incapacity
25-39,alive,none,belted,1,m,63,1997,1988.0,unavail,driver,possible injury
25-39,alive,none,belted,1,f,51,1997,1988.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,f,21,1997,1992.0,deploy,driver,no incapacity
25-39,alive,none,none,1,f,20,1997,1991.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,f,21,1997,1996.0,deploy,driver,no incapacity
10-24,alive,none,belted,1,m,26,1997,1996.0,unavail,pass,no injury
25-39,alive,none,none,1,m,30,1997,1985.0,unavail,driver,no injury
1-9km/h,alive,none,none,0,f,28,1997,1986.0,unavail,driver,possible injury
10-24,alive,none,none,0,f,44,1997,1989.0,unavail,driver,no incapacity
10-24,alive,none,none,0,f,30,1997,1989.0,unavail,pass,no injury
10-24,alive,none,none,0,m,43,1997,1995.0,unavail,driver,possible injury
10-24,alive,none,none,1,m,38,1997,1988.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,59,1997,1981.0,unavail,driver,no injury
40-54,alive,none,belted,1,m,36,1997,1988.0,unavail,driver,no injury
10-24,alive,none,none,0,f,53,1997,1984.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,32,1997,1996.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,26,1997,1996.0,nodeploy,pass,no injury
25-39,alive,airbag,belted,1,f,36,1997,1996.0,nodeploy,driver,possible injury
25-39,alive,none,none,1,m,39,1997,1984.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,26,1997,1987.0,unavail,driver,possible injury
25-39,alive,none,belted,1,m,28,1997,1988.0,unavail,driver,possible injury
10-24,alive,none,none,1,m,23,1997,1983.0,unavail,driver,possible injury
1-9km/h,alive,airbag,belted,0,m,49,1997,1992.0,nodeploy,driver,possible injury
10-24,alive,none,none,1,m,39,1997,1994.0,unavail,driver,possible injury
25-39,alive,none,belted,1,f,35,1997,1992.0,unavail,driver,possible injury
25-39,alive,none,belted,1,m,38,1997,1990.0,unavail,driver,possible injury
25-39,alive,none,belted,1,f,38,1997,1987.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,61,1997,1987.0,unavail,pass,no injury
25-39,alive,airbag,belted,1,m,19,1997,1996.0,deploy,driver,possible injury
10-24,alive,airbag,none,1,m,22,1997,1997.0,deploy,driver,possible injury
10-24,alive,none,none,1,m,26,1997,1986.0,unavail,driver,no injury
10-24,alive,none,none,1,f,26,1997,1986.0,unavail,pass,possible injury
40-54,alive,none,belted,1,f,32,1997,1981.0,unavail,driver,no injury
10-24,alive,none,belted,0,f,19,1997,1986.0,unavail,driver,no injury
10-24,alive,none,none,1,m,31,1997,1989.0,unavail,driver,possible injury
10-24,alive,none,none,1,m,31,1997,1989.0,unavail,pass,possible injury
10-24,alive,airbag,none,0,m,78,1997,1993.0,deploy,driver,possible injury
10-24,alive,airbag,none,1,m,28,1997,1994.0,nodeploy,driver,incapacity
10-24,alive,airbag,belted,0,m,22,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,f,70,1997,1995.0,nodeploy,pass,no incapacity
10-24,alive,none,none,1,m,66,1997,1989.0,unavail,driver,incapacity
1-9km/h,alive,none,belted,0,m,43,1997,1990.0,unavail,driver,no injury
55+,alive,none,none,1,m,21,1997,1985.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,39,1997,1992.0,unavail,driver,possible injury
10-24,alive,none,belted,1,f,17,1997,1993.0,unavail,driver,incapacity
10-24,alive,none,none,1,f,18,1997,1993.0,unavail,pass,incapacity
25-39,alive,airbag,belted,0,f,77,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,none,none,1,f,30,1997,1993.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,22,1997,1990.0,unavail,driver,possible injury
40-54,alive,airbag,belted,1,m,56,1997,1991.0,deploy,driver,possible injury
25-39,alive,none,none,1,m,17,1997,1987.0,unavail,driver,incapacity
25-39,alive,none,none,1,m,17,1997,1987.0,unavail,pass,possible injury
10-24,alive,none,none,1,m,19,1997,1987.0,unavail,driver,possible injury
25-39,alive,airbag,belted,1,m,84,1997,1993.0,deploy,driver,incapacity
25-39,alive,none,belted,0,f,17,1997,1989.0,unavail,driver,incapacity
10-24,alive,none,belted,1,f,26,1997,1986.0,unavail,driver,possible injury
25-39,alive,airbag,belted,1,m,87,1997,1995.0,deploy,driver,killed
10-24,alive,airbag,belted,0,m,36,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,1,m,68,1997,1994.0,deploy,driver,possible injury
10-24,alive,none,belted,1,m,71,1997,1994.0,unavail,pass,possible injury
10-24,alive,none,belted,1,f,40,1997,1991.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,m,21,1997,1995.0,deploy,driver,incapacity
10-24,alive,none,belted,1,f,81,1997,1993.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,54,1997,1991.0,unavail,driver,no injury
25-39,alive,airbag,belted,1,f,22,1997,1996.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,52,1997,1988.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,0,f,60,1997,1997.0,nodeploy,driver,possible injury
1-9km/h,alive,none,belted,0,f,18,1997,1989.0,unavail,driver,no injury
25-39,alive,airbag,none,0,m,18,1997,1994.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,f,79,1997,1994.0,deploy,driver,incapacity
10-24,alive,airbag,belted,0,f,73,1997,1994.0,nodeploy,driver,incapacity
10-24,alive,airbag,belted,0,f,72,1997,1994.0,nodeploy,pass,incapacity
10-24,alive,none,belted,1,f,51,1997,1988.0,unavail,driver,incapacity
10-24,alive,airbag,none,0,m,73,1997,1990.0,deploy,driver,possible injury
10-24,alive,none,none,0,f,56,1997,1990.0,unavail,pass,incapacity
25-39,alive,none,none,1,m,59,1997,1985.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,f,23,1997,1992.0,nodeploy,driver,no injury
10-24,alive,none,belted,1,f,17,1997,1986.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,m,30,1997,1997.0,deploy,driver,no injury
10-24,alive,none,none,1,f,25,1997,1997.0,unavail,pass,no incapacity
25-39,alive,none,none,1,f,56,1997,1988.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,79,1997,1990.0,unavail,driver,incapacity
25-39,alive,airbag,belted,1,f,24,1997,1994.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,22,1997,1994.0,unavail,pass,possible injury
55+,alive,none,none,1,m,25,1997,1992.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,1,f,73,1997,1991.0,deploy,driver,no injury
25-39,alive,none,belted,1,m,39,1997,1993.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,f,39,1997,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,0,m,37,1997,1995.0,nodeploy,driver,no incapacity
10-24,alive,none,belted,1,f,74,1997,1991.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,m,77,1997,1996.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,f,76,1997,1996.0,nodeploy,pass,no injury
1-9km/h,alive,none,belted,1,m,20,1997,1989.0,unavail,driver,no injury
40-54,alive,none,belted,1,f,24,1997,1987.0,unavail,driver,incapacity
25-39,alive,none,none,1,m,41,1997,1987.0,unavail,driver,possible injury
25-39,alive,none,belted,0,m,44,1997,1986.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,19,1997,1995.0,deploy,driver,incapacity
10-24,alive,airbag,none,1,m,46,1997,1995.0,deploy,driver,incapacity
10-24,alive,airbag,none,1,m,86,1997,1995.0,deploy,pass,possible injury
10-24,alive,airbag,belted,0,m,62,1997,1992.0,deploy,driver,no injury
55+,dead,none,none,1,m,23,1997,1986.0,unavail,driver,killed
25-39,alive,none,belted,1,m,26,1997,1994.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,78,1997,1996.0,deploy,driver,possible injury
10-24,alive,none,none,1,m,37,1997,1974.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,47,1997,1991.0,deploy,driver,no incapacity
10-24,alive,none,belted,1,f,44,1997,1991.0,unavail,pass,no incapacity
10-24,alive,airbag,belted,1,m,62,1997,1994.0,nodeploy,driver,no incapacity
25-39,alive,airbag,belted,0,f,50,1997,1994.0,nodeploy,driver,incapacity
25-39,alive,airbag,belted,0,f,76,1997,1994.0,nodeploy,pass,incapacity
10-24,alive,airbag,none,1,m,51,1997,1995.0,deploy,driver,no injury
25-39,alive,none,none,0,m,18,1997,1989.0,unavail,pass,no injury
40-54,alive,none,belted,0,f,17,1997,1989.0,unavail,driver,incapacity
10-24,alive,none,none,1,f,42,1997,1989.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,81,1997,1995.0,deploy,driver,possible injury
10-24,alive,airbag,belted,0,f,77,1997,1991.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,m,85,1997,1991.0,nodeploy,pass,possible injury
10-24,alive,none,belted,0,m,83,1997,1985.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,f,72,1997,1992.0,deploy,driver,incapacity
55+,alive,none,belted,1,m,18,1997,1986.0,unavail,driver,incapacity
25-39,alive,airbag,belted,0,f,40,1997,1996.0,nodeploy,driver,possible injury
25-39,alive,airbag,belted,1,f,23,1997,1996.0,deploy,driver,possible injury
10-24,alive,airbag,belted,0,f,50,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,m,32,1997,1990.0,unavail,driver,no injury
40-54,alive,airbag,none,1,m,56,1997,1994.0,deploy,driver,incapacity
55+,alive,none,belted,1,f,17,1997,1987.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,76,1997,1996.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,f,74,1997,1996.0,deploy,pass,incapacity
10-24,alive,airbag,belted,1,m,73,1997,1996.0,deploy,driver,incapacity
25-39,alive,none,none,1,m,38,1997,1987.0,unavail,driver,incapacity
25-39,alive,none,none,1,f,41,1997,1987.0,unavail,pass,incapacity
10-24,alive,none,none,1,m,64,1997,1993.0,unavail,driver,killed
25-39,alive,airbag,belted,0,f,36,1997,1994.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,f,18,1997,1979.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,f,80,1997,1990.0,nodeploy,driver,no injury
40-54,alive,none,none,1,m,23,1997,1988.0,unavail,driver,incapacity
40-54,alive,none,belted,0,f,22,1997,1983.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,71,1997,1998.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,f,21,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,f,25,1997,1990.0,unavail,driver,possible injury
40-54,alive,airbag,belted,1,m,79,1997,1997.0,deploy,driver,incapacity
25-39,alive,airbag,belted,1,f,26,1997,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,0,m,38,1997,1994.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,f,39,1997,1994.0,nodeploy,pass,possible injury
10-24,alive,none,belted,1,f,17,1997,1987.0,unavail,driver,possible injury
25-39,alive,none,belted,0,m,83,1997,1992.0,unavail,driver,incapacity
25-39,dead,none,belted,0,f,77,1997,1992.0,unavail,pass,killed
25-39,alive,none,belted,0,m,70,1997,1987.0,unavail,driver,possible injury
25-39,alive,none,belted,0,f,65,1997,1987.0,unavail,pass,incapacity
25-39,alive,none,belted,1,f,42,1997,1988.0,unavail,driver,no injury
25-39,alive,none,none,1,f,27,1997,1987.0,unavail,driver,possible injury
1-9km/h,alive,none,belted,1,f,51,1997,1987.0,unavail,driver,no injury
55+,dead,none,none,0,m,34,1997,1990.0,unavail,driver,killed
10-24,alive,airbag,belted,1,m,22,1997,1995.0,deploy,driver,no injury
10-24,alive,none,none,0,m,28,1997,1979.0,unavail,driver,no incapacity
10-24,dead,airbag,belted,1,m,37,1997,1995.0,deploy,driver,killed
10-24,alive,airbag,none,1,m,31,1997,1996.0,deploy,driver,possible injury
10-24,alive,none,none,0,m,68,1997,1991.0,unavail,driver,no injury
25-39,alive,airbag,none,1,m,45,1997,1993.0,deploy,driver,no incapacity
40-54,alive,airbag,belted,1,f,61,1997,1993.0,deploy,driver,possible injury
55+,alive,none,none,1,m,19,1997,1984.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,m,30,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,f,21,1997,1995.0,nodeploy,pass,possible injury
1-9km/h,alive,none,belted,0,m,22,1997,1989.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,34,1997,1994.0,unavail,driver,possible injury
40-54,alive,none,belted,0,f,29,1997,1994.0,unavail,driver,incapacity
10-24,alive,airbag,none,1,f,73,1997,1995.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,f,22,1997,1994.0,deploy,driver,incapacity
10-24,alive,none,belted,0,f,60,1997,1986.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,m,32,1997,1993.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,m,30,1997,1993.0,nodeploy,pass,possible injury
10-24,alive,none,belted,1,m,32,1997,1989.0,unavail,driver,possible injury
10-24,alive,none,none,1,f,20,1997,1989.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,m,73,1997,1994.0,deploy,driver,no incapacity
10-24,alive,airbag,none,0,m,34,1997,1997.0,nodeploy,driver,incapacity
10-24,alive,airbag,belted,0,m,31,1997,1994.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,39,1997,1994.0,nodeploy,driver,incapacity
10-24,alive,none,belted,1,f,48,1997,1989.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,m,26,1997,1997.0,deploy,driver,incapacity
10-24,alive,none,belted,1,m,20,1997,1993.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,f,41,1997,1997.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,41,1997,1997.0,deploy,driver,possible injury
10-24,alive,none,belted,0,m,27,1997,1992.0,unavail,driver,incapacity
1-9km/h,alive,airbag,belted,0,f,54,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,m,18,1997,1994.0,unavail,driver,no injury
25-39,alive,none,none,0,f,38,1997,1985.0,unavail,driver,possible injury
25-39,alive,none,none,0,m,29,1997,1985.0,unavail,pass,no incapacity
25-39,alive,none,none,1,m,85,1997,1986.0,unavail,driver,incapacity
25-39,alive,none,none,1,f,55,1997,1986.0,unavail,pass,incapacity
10-24,alive,none,none,0,f,40,1997,1988.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,78,1997,1993.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,f,83,1997,1993.0,unavail,pass,possible injury
25-39,alive,airbag,none,1,f,20,1997,1994.0,deploy,driver,possible injury
40-54,dead,none,none,0,f,33,1997,1987.0,unavail,driver,killed
40-54,alive,none,none,0,m,37,1997,1987.0,unavail,pass,no incapacity
55+,alive,airbag,belted,0,m,37,1997,1994.0,deploy,driver,incapacity
